MAXIMReg_X_dpconv_2_Chan_64_LR_0.0001_Smooth_4.0
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.9638755071810096,0.7935289583531119,0.6538754203040308,0.8413782631901267,0.39540229582067205,0.7921626509874862,0.8233170038382231,0.875076492317914,0.7997852916803164,0.8203219920866328,0.8052281962604925,0.7907995597185116,0.7390874960713263,0.8841764958654071,0.7793231333802171,0.7907627693240897,0.7215363486915762,0.6843899067185419,0.8435534584563259,0.4285713673469475,0.1687638773592607,0.7947600710782767,0.6611618223210255,0.8483873435806376,0.5720771817702771,0.779692355958202,0.8018300144467074,0.8965909625448812,0.7899746184539186,0.7828533347280274,0.7921464965222834,0.7238992779237967,0.7589996196305426,0.7314510785853507,0.8510673093554696,0.19672127922601979,0.2367297117954258,0.0,0.0009095043160095301,0.0,0.5402597332433801,0.0,0.0,0.0,0.0,0.0,0.005187116350446428
p_1,0.9787364657798094,0.8252155497052512,0.7153979392589409,0.8077122147983229,0.3053892169851914,0.8205518138114947,0.8579381561628925,0.8894302471465495,0.8448692355373708,0.8023994978938137,0.789496715996725,0.6882148150760079,0.7787698393383684,0.8994328500390271,0.8304966648447331,0.8332915496783867,0.6663907257185814,0.5733672555269953,0.8427718465326833,0.04878047590720099,0.21387940598544475,0.8302675081572675,0.7095991754810578,0.7578144022425799,0.40607734245749527,0.8373079250874846,0.8657821703057189,0.902241593554254,0.8269841260465033,0.8076374011352272,0.7705163900353196,0.8226255634085993,0.8179327501421351,0.6957766593000955,0.8507811761149021,0.058823512110731724,0.26079593343949253,0.0,0.00883652417030156,0.0,0.3258928498684632,0.0,0.0,0.0,0.0,0.0,0.002302769252232143
p_2,0.9696297032200644,0.8173994894296375,0.676487106156111,0.7629876756567117,0.3185265404276648,0.8103706981501068,0.8600862042087192,0.8762349555971641,0.7848575702338112,0.8034703189009403,0.7525437510123245,0.7129670298331119,0.7470198659006184,0.8883688133446797,0.787826387006894,0.780475716599416,0.6333066427809981,0.5092073618157937,0.8111077198572568,0.15384613017751841,0.11827956830269398,0.8224061560993717,0.6920865299042892,0.7803249774654711,0.47683397223133234,0.8076711321325768,0.8602671824421044,0.8779072574450427,0.7688587998442229,0.7474244499077743,0.7477849955743552,0.8119644294163586,0.8025078351936681,0.6285714242954324,0.8033446881361531,0.035087713142506465,0.2475247504329641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006025041852678571
p_3,0.9748401713250837,0.8148254456778595,0.7034511419805515,0.8109931287876371,0.37209301870143185,0.8100842092133259,0.7642203034560296,0.8550752788464909,0.8001017283823733,0.7087844829029428,0.6877944310753867,0.7528479407981776,0.7601199381306348,0.8591420437687818,0.8111089967556506,0.7672660913024079,0.682442022326351,0.63403944021885,0.8417376483460497,0.0,0.1233243951296998,0.8155006837120862,0.6989498802339611,0.7896143037681618,0.3733955615706469,0.7552198140544346,0.7498127290671052,0.881103242169691,0.7920277286555735,0.7421383641224747,0.7541390712869639,0.8026168216797974,0.7953330073035173,0.6477794743661602,0.8301645330620069,0.0,0.18331805514832214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005850365048363095
p_4,0.9743383410167954,0.818194787299218,0.6919110168785448,0.8521116247067047,0.3010752641923923,0.7749045655800667,0.7875682140959941,0.8548431857591767,0.8208303999706821,0.7794985243551821,0.7702417254864077,0.7813267781272449,0.6594724200855143,0.8708763655944408,0.8037441489300633,0.7694849882415725,0.7321505809945885,0.6037735797274993,0.7852660292994398,0.4307691644970516,0.3588390469759099,0.8208782949768326,0.702350081027464,0.8616834036330452,0.212230212010248,0.7665747702774083,0.8094405950478735,0.8841667623950995,0.7899227945416188,0.7444724314353275,0.7234642482911093,0.8174514382004969,0.7831084438203187,0.6318840533921446,0.7989206282693583,0.199999960000008,0.39972241221566684,0.0,0.008522727151665807,0.0,0.3779527459854923,0.0,0.0,0.0,0.0,0.0,0.005424136207217262
p_5,0.9706412784690818,0.8116113476601048,0.654371140711988,0.7295738990791915,0.09538461391715979,0.8064822172859606,0.8446524709259875,0.8474139840854988,0.737057777985169,0.7561425055619299,0.7262227021724911,0.7013720714230344,0.7474332631817631,0.8756351964388661,0.7703240470245177,0.7967479648886244,0.6844583960578555,0.5342126913914865,0.8345357219497822,0.33613442553492223,0.14905148849523728,0.8159498987076038,0.649505158182316,0.7410904654728218,0.6283572727772813,0.779788065688843,0.8470848506441496,0.8863784702081747,0.7414974773807094,0.7256609636658935,0.7216772442360507,0.7876137776301858,0.7824795823249701,0.6705351342970011,0.8298182369584951,0.12698410682791955,0.3193403274412269,0.0,0.0,0.0,0.2014388440901956,0.0,0.0,0.0,0.0,0.0,0.003882562546502976
p_6,0.9752655003428391,0.8185458204681691,0.6833048188816964,0.8785956626451317,0.4431137671483381,0.775851844917244,0.8394225470492288,0.8588092094234663,0.8583044351807911,0.8353808345598223,0.7747368402930133,0.7244755210980162,0.8208165838358017,0.8856943157176087,0.8317608387238834,0.8224519916618848,0.6795048111897991,0.5659472376822763,0.8446413728010326,0.6329113122897073,0.2553672287529127,0.8217111920944914,0.6856236498937202,0.877510250826669,0.6044225994723784,0.7523748583077288,0.8380037761421641,0.8989877229706075,0.8601946346306734,0.7776882795230686,0.7493906475750263,0.8358330774045168,0.8511843438435006,0.6256643840116599,0.8539430696650088,0.33870965010406046,0.45096524748289385,0.0,0.0035938903540530965,0.0,0.505376335029098,0.0,0.0,0.0,0.0,0.0,0.002057466052827381
p_7,0.9701744738640705,0.791583934448266,0.6503746356179536,0.6990720277661865,0.4404040359555148,0.8250102266197772,0.8593251446520314,0.8254844909386634,0.7818484585319894,0.727500783184383,0.7004768081914243,0.761433865836696,0.7954274808396583,0.8765048469797918,0.7915686622113546,0.7723674723617955,0.6693227062004307,0.6197183044038882,0.8211102278518134,0.2153845822485258,0.09857328017414682,0.7984901817624258,0.6700875570328886,0.6712506962727647,0.5174035699209448,0.7947894686130357,0.8409011728573264,0.8590315468054863,0.712198972611924,0.7286010457808263,0.7494021981123812,0.8249127311915188,0.8040374180107399,0.6660412695493314,0.842124710538453,0.4999999107143016,0.15009380722238455,0.0,0.0,0.0,0.2934537179807287,0.0,0.0,0.0,0.0,0.0,0.004977852957589286
p_8,0.9675346586220692,0.7767671961514397,0.6241504294174416,0.9057441492679345,0.5798192727423248,0.8127894284243903,0.7230882740671964,0.8596374214153657,0.7901060061365065,0.7767007711571524,0.7326681997117723,0.8114441394783538,0.8365353291492424,0.8606104915261176,0.8260050242608825,0.7731526273857611,0.7475665128242488,0.49397589766294103,0.807901516549383,0.23255808545160803,0.4896703275179326,0.7884494893350958,0.6399661551474962,0.8975331555436652,0.6500346455299054,0.7558014028751344,0.7999062552054031,0.876368524952706,0.8029833610981258,0.7450256402615122,0.7451587897104085,0.8196323966677111,0.8085333311772444,0.5913370942435302,0.8375303832401261,0.07142855867347166,0.4776880557684315,0.0,0.0028070175241612805,0.0,0.5011086363390547,0.0,0.0,0.0,0.0,0.0,0.00531950451078869
p_9,0.9677121187996114,0.7731972961955305,0.5765795679195016,0.9184661691778438,0.6456211779754523,0.7639662057882094,0.8116433748739524,0.8362840654888376,0.8052988280879563,0.771758125630015,0.7511796138685762,0.8329368694731256,0.7404162082683017,0.8832224014067679,0.8353744032575728,0.8182904936691856,0.7135476443353971,0.5452538571164034,0.8287455752764986,0.6037735279458936,0.5514972012125791,0.7978840144363953,0.6229394429651146,0.9062367585588997,0.6766743609891781,0.7733350853325442,0.8195218163133848,0.8633808335315853,0.7698422546642129,0.7739307526884694,0.7505446602654012,0.8360811386827094,0.7885462533355003,0.7187780708106193,0.844201094231756,0.0,0.5274602717383321,0.0,0.006277463865175996,0.0,0.4353312234174886,0.0,0.0,0.0,0.0,0.0,0.0032780238560267856
